display.refreshrate,script.startdate,script.starttime,script.subjectid,script.groupid,script.elapsedtime,computer.platform,values.completed,parameters.stimpic_height,expressions.propcorrect_stim1,expressions.propcorrect_stim2,expressions.propcorrect_stim3,expressions.propcorrect_stim4,expressions.propcorrect_stim5,expressions.propcorrect_stim6,expressions.propcorrect_stim7,expressions.propcorrect_stim8,expressions.propcorrect_stim9,expressions.propcorrect_stim10,expressions.propcorrect_stim11,expressions.propcorrect_stim12,expressions.propcorrect_stim13
60,102021,14:25:22,4090,6,764879,win,1,17pct,0.6,0.9,0.95,0.85,0.9,0.9,0.9,1,0.95,1,1,1,1
60,102021,14:33:58,5089,1,765669,win,1,24pct,0.7,0.95,0.95,1,1,1,1,1,1,1,1,1,0.9
59,102021,14:52:30,4091,2,640990,win,1,26pct,0.55,0.45,0.65,0.6,1,0.9,0.95,1,1,0.95,1,1,1
60,102121,14:11:12,4092,3,625164,win,1,26pct,0.8,0.9,1,1,0.85,1,0.95,0.95,1,0.95,1,0.95,1
60,102221,14:13:57,5093,5,1028766,win,1,26pct,0.7,0.9,1,0.85,0.9,0.85,0.95,1,1,1,0.95,1,1
60,102221,14:57:05,3094,6,743708,win,1,26pct,0.8,0.9,0.8,0.8,1,0.85,1,1,0.9,1,0.95,0.95,1
60,102521,14:05:08,4095,3,670539,win,1,26pct,0.9,0.95,0.95,1,0.85,1,0.95,0.95,1,1,0.95,0.95,1
59,102521,14:15:34,6097,4,635157,win,1,26pct,0.5,0.65,0.95,0.5,0.95,0.8,0.8,1,1,0.95,1,1,1
60,102521,14:18:49,5093,5,670256,win,1,23pct,0.75,0.85,0.9,0.85,1,0.9,0.95,0.95,0.95,0.95,1,0.95,1
60,102621,14:07:26,1096,6,653598,win,1,37pct,0.95,1,0.95,1,0.95,0.95,0.95,0.95,1,1,0.95,1,0.9
60,102621,15:01:57,2099,1,676001,win,1,14pct,0.75,0.85,1,0.9,1,1,1,1,1,0.95,1,1,0.95
60,102721,14:09:38,3100,3,862509,win,1,19pct,0.55,0.85,0.95,0.85,0.95,1,1,1,1,1,1,1,0.95
60,102721,14:22:42,5101,4,629969,win,1,15pct,0.75,0.85,0.95,1,1,1,0.95,0.95,1,0.9,0.95,0.95,1
75,102721,14:31:30,2102,5,664246,win,1,20pct,0.4,0.7,0.75,0.7,0.8,1,0.95,1,1,1,1,0.95,1
60,102721,14:44:12,2103,6,698854,win,1,20pct,0.55,0.95,0.95,1,1,1,0.95,1,1,1,1,0.95,0.95
59,102721,14:48:01,1104,1,641444,win,1,31pct,0.75,0.75,1,0.8,1,1,1,0.95,1,1,1,1,1
60,102821,14:08:40,2106,2,777202,win,1,21pct,0.75,0.9,0.95,0.85,0.95,1,1,1,0.9,0.95,1,1,0.95
60,102821,14:19:27,3107,3,760153,win,1,36pct,0.75,0.75,0.8,0.95,0.75,0.7,1,0.85,1,0.95,1,1,0.95
60,102921,14:44:50,4105,4,673720,win,1,20pct,0.6,1,0.9,0.85,1,0.9,0.95,1,1,1,1,1,0.9
60,110121,14:36:23,6108,5,792460,win,1,38pct,0.7,1,0.85,0.85,0.9,1,1,1,1,1,1,1,1
60,110121,14:43:55,1109,6,745768,win,1,25pct,0.65,0.85,0.95,0.9,0.95,0.9,1,0.95,1,1,0.8,0.95,0.95
60,110221,14:05:47,6110,2,769229,win,1,20pct,0.7,1,0.8,0.95,0.9,0.95,0.9,1,1,0.85,0.9,1,0.95
60,110221,14:07:28,3111,3,723404,win,1,11pct,0.8,1,0.9,1,1,1,1,1,1,1,1,1,1
60,110221,14:39:32,1112,4,662650,win,1,27pct,0.55,0.95,1,1,0.95,1,1,1,1,1,1,1,1
75,110221,14:56:09,5113,5,635981,win,1,15pct,0.8,0.95,0.9,0.9,1,0.95,1,0.95,0.95,0.95,0.95,1,1
60,110321,14:04:57,4114,6,636374,win,1,20pct,0.75,0.9,0.95,0.95,0.9,0.75,0.85,0.95,1,0.95,0.95,0.95,0.95
60,110321,14:09:56,1115,1,666883,win,1,17pct,0.8,0.9,0.9,0.95,1,0.95,0.95,0.9,1,1,0.95,1,0.9
59,110321,14:42:14,2117,2,650743,win,1,19pct,0.75,0.65,0.95,0.95,1,1,1,1,1,1,1,1,1
60,110321,14:44:02,1116,3,711985,win,1,19pct,0.6,1,0.9,0.95,0.9,0.95,1,1,1,0.95,1,1,0.95
60,110421,14:11:02,5118,4,684239,win,1,18pct,0.65,0.9,0.95,0.9,1,1,1,1,0.95,1,1,1,1
60,110421,14:14:05,5119,5,679359,win,1,26pct,0.75,0.75,0.85,0.85,0.95,0.95,0.9,0.9,0.9,0.9,0.95,0.95,0.9
60,110421,14:16:55,6120,6,647121,win,1,26pct,0.7,0.8,0.95,0.95,0.9,0.9,0.85,0.9,0.95,0.85,0.85,0.95,0.9
59,110421,14:34:51,4121,1,663624,win,1,26pct,0.9,0.75,1,1,1,0.95,1,1,1,1,1,0.95,1
75,110421,14:35:58,2123,2,661802,win,1,26pct,0.75,0.75,0.8,0.75,0.75,0.85,0.9,0.8,0.9,0.95,0.85,0.9,0.9
60,110521,14:02:10,1122,3,732178,win,1,20pct,0.75,1,0.9,0.9,0.95,1,1,0.9,0.95,1,1,1,1
60,110521,14:29:06,4124,4,800617,win,1,18pct,0.9,0.95,0.9,0.95,1,1,1,1,1,1,1,0.95,1
75,110521,14:31:13,6126,5,701074,win,1,20pct,0.65,0.75,0.75,0.9,0.85,0.95,0.8,0.95,0.85,0.85,1,0.75,0.9
59,110521,14:32:16,4125,6,663737,win,1,20pct,0.7,0.85,0.95,0.8,1,0.9,1,0.95,0.95,1,1,1,1
